ID,tobacco_type,response
255,cigarette,20
255,e-cigarette,26
255,heated tobacco,.S
255,hookah,.S
255,smokeless tobacco,2
256,cigar,.S
256,cigarette,.S
256,e-cigarette,0
256,heated tobacco,.S
256,hookah,.S
256,smokeless tobacco,.S
259,cigar,.S
259,cigarette,.S
259,e-cigarette,.S
259,heated tobacco,.S
259,hookah,.S
259,smokeless tobacco,.S
263,cigar,1
263,cigarette,0
263,e-cigarette,25
263,heated tobacco,.S
263,hookah,.S
263,smokeless tobacco,0
271,cigar,.S
271,cigarette,.S
271,e-cigarette,.S
271,heated tobacco,.S
271,hookah,.S
271,smokeless tobacco,.S
279,cigar,.S
279,cigarette,.S
279,e-cigarette,.S
279,heated tobacco,.S
279,hookah,.S
279,smokeless tobacco,.S
283,cigar,0
283,cigarette,0
283,e-cigarette,10
283,heated tobacco,.S
283,hookah,.S
283,smokeless tobacco,.S
286,cigar,.S
286,cigarette,.S
286,e-cigarette,.S
286,heated tobacco,.S
286,hookah,.S
286,smokeless tobacco,.S
287,cigar,.S
287,cigarette,.S
287,e-cigarette,.S
287,heated tobacco,.S
287,hookah,.S
287,smokeless tobacco,.S
291,cigar,.S
291,cigarette,.S
291,e-cigarette,1
291,heated tobacco,.S
291,hookah,.S
291,smokeless tobacco,.S
298,cigar,.S
298,cigarette,.S
298,e-cigarette,.S
298,heated tobacco,0
298,hookah,.S
298,smokeless tobacco,.S
306,cigar,.S
306,cigarette,.S
306,e-cigarette,.S
306,heated tobacco,.S
306,hookah,.S
306,smokeless tobacco,15
314,cigar,.S
314,cigarette,.S
314,e-cigarette,0
314,heated tobacco,.S
314,hookah,.S
314,smokeless tobacco,.S
318,cigar,3
318,cigarette,0
318,e-cigarette,30
318,heated tobacco,0
318,hookah,.S
318,smokeless tobacco,0
322,cigar,.S
322,cigarette,.S
322,e-cigarette,21
322,heated tobacco,.S
322,hookah,.S
322,smokeless tobacco,.S
326,cigar,.S
326,cigarette,.S
326,e-cigarette,20
326,heated tobacco,.S
326,hookah,.S
326,smokeless tobacco,.S
330,cigar,2
330,cigarette,0
330,e-cigarette,30
330,heated tobacco,.S
330,hookah,.S
330,smokeless tobacco,.S
334,cigar,0
334,cigarette,0
334,e-cigarette,20
334,heated tobacco,.S
334,hookah,.S
334,smokeless tobacco,0
338,cigar,.S
338,cigarette,.S
338,e-cigarette,.S
338,heated tobacco,.S
338,hookah,.S
338,smokeless tobacco,.S
342,cigar,1
342,cigarette,.S
342,e-cigarette,30
342,heated tobacco,.S
342,hookah,.S
342,smokeless tobacco,0
346,cigar,.S
346,cigarette,.S
346,e-cigarette,.S
346,heated tobacco,.S
346,hookah,.S
346,smokeless tobacco,.S
350,cigar,.S
350,cigarette,.S
350,e-cigarette,0
350,heated tobacco,.S
350,hookah,.S
350,smokeless tobacco,.S
354,cigar,.S
354,cigarette,.S
354,e-cigarette,.S
354,heated tobacco,0
354,hookah,.S
354,smokeless tobacco,.S
358,cigar,.S
358,cigarette,0
358,e-cigarette,15
358,heated tobacco,.S
358,hookah,.S
358,smokeless tobacco,.S
362,cigar,0
362,cigarette,0
362,e-cigarette,0
362,heated tobacco,.S
362,hookah,.S
362,smokeless tobacco,0
363,cigar,.S
363,cigarette,0
363,e-cigarette,2
363,heated tobacco,.S
363,hookah,.S
363,smokeless tobacco,.S
364,cigar,.S
364,cigarette,0
364,e-cigarette,5
364,heated tobacco,.S
364,hookah,.S
364,smokeless tobacco,.S
365,cigar,.S
365,cigarette,.S
365,e-cigarette,.S
365,heated tobacco,.S
365,hookah,.S
365,smokeless tobacco,.S
366,cigar,0
366,cigarette,0
366,e-cigarette,3
366,heated tobacco,.S
366,hookah,0
366,smokeless tobacco,0
367,cigar,.S
367,cigarette,.S
367,e-cigarette,.S
367,heated tobacco,.S
367,hookah,.S
367,smokeless tobacco,.S
369,cigar,.S
369,cigarette,.S
369,e-cigarette,.S
369,heated tobacco,.S
369,hookah,.S
369,smokeless tobacco,.S
370,cigar,.S
370,cigarette,.S
370,e-cigarette,.S
370,heated tobacco,.S
370,hookah,.S
370,smokeless tobacco,.S
371,cigar,.S
371,cigarette,.S
371,e-cigarette,.S
371,heated tobacco,.S
371,hookah,.S
371,smokeless tobacco,.S
372,cigar,.S
372,cigarette,.S
372,e-cigarette,.S
372,heated tobacco,.S
372,hookah,.S
372,smokeless tobacco,.S
373,cigar,3
373,cigarette,8
373,e-cigarette,20
373,heated tobacco,.S
373,hookah,.S
373,smokeless tobacco,0
374,cigar,.S
374,cigarette,.S
374,e-cigarette,3
374,heated tobacco,.S
374,hookah,.S
374,smokeless tobacco,.S
375,cigar,0
375,cigarette,1
375,e-cigarette,11
375,heated tobacco,0
375,hookah,.S
375,smokeless tobacco,0
377,cigar,.S
377,cigarette,.S
